Employee_ID,Department,City,Gender,Age,Experience_Years,Performance_Score,Projects_Completed,Training_Hours,Monthly_Salary,Annual_Salary
1024,HR,Chennai,Female,26.0,10,3.07,10,46.0,103238.0,1238856.0
1025,AI,Bangalore,Female,29.0,13,3.33,7,64.0,122568.0,1470816.0
1026,AI,Bangalore,Male,26.0,1,3.15,8,44.0,82376.0,988512.0
1027,Engineering,Hyderabad,Female,39.0,7,2.28,3,28.0,83736.0,1004832.0
1028,Finance,Bangalore,Female,42.0,15,3.85,2,23.0,126830.0,1521960.0
1029,Sales,Chennai,Female,22.0,9,4.14,7,,96085.0,1153020.0
1030,Finance,Pune,Female,36.0,19,4.28,2,70.0,134983.0,1619796.0
1031,Sales,Chennai,Male,43.0,13,4.64,13,15.0,134867.0,1618404.0
1032,Sales,Bangalore,Male,39.0,0,4.27,8,34.0,69904.0,838848.0
1033,AI,Chennai,Female,50.0,3,3.66,15,50.0,94207.0,1130484.0
1034,Sales,Chennai,Female,37.0,13,4.03,2,28.0,119588.0,1435056.0
1035,Finance,Pune,Female,48.0,16,3.38,2,41.0,130661.0,1567932.0
1036,Engineering,Pune,Male,49.0,6,4.18,2,64.0,100218.0,1202616.0
1037,Sales,Hyderabad,Male,27.0,8,3.53,6,20.0,90957.0,1091484.0
1038,Sales,Chennai,Female,44.0,8,2.3,10,58.0,84238.0,1010856.0
1039,Engineering,Chennai,Male,40.0,5,3.68,6,33.0,88890.0,1066680.0
1040,HR,Pune,Female,48.0,19,3.74,15,25.0,148297.0,1779564.0
1041,AI,Pune,Male,29.0,10,2.99,15,4.0,110205.0,1322460.0
1042,HR,Chennai,Female,30.0,7,3.98,1,1.0,151036.6,823836.0
1043,AI,Hyderabad,Male,33.0,19,4.41,10,15.0,164189.0,1970268.0
1044,Sales,Hyderabad,Male,50.0,13,3.01,10,0.0,123363.0,1480356.0
1045,AI,Pune,Male,50.0,0,4.15,13,43.0,83562.0,1002744.0
1046,Engineering,Chennai,Male,45.0,8,4.22,7,68.0,103487.0,1241844.0
1047,AI,Chennai,Male,23.0,14,3.13,2,2.0,126748.0,1520976.0
1048,AI,Hyderabad,Male,,19,3.43,1,12.0,148841.0,1786092.0
1049,Engineering,Pune,Female,41.0,10,3.04,3,,95904.0,1150848.0
1050,Engineering,Hyderabad,Male,24.0,7,3.35,12,48.0,102304.0,1227648.0
1051,AI,Pune,Male,50.0,6,3.67,2,62.0,103416.0,1240992.0
1052,Engineering,Pune,Male,27.0,2,4.4,11,47.0,87604.0,1051248.0
1053,AI,Chennai,Female,49.0,1,3.32,2,76.0,71005.0,852060.0
1054,Engineering,Bangalore,Male,31.0,8,,15,18.0,109104.0,1309248.0
1055,HR,Pune,Female,29.0,16,1.81,2,68.0,114222.0,1370664.0
1056,Engineering,Bangalore,Female,28.0,8,3.3,10,36.0,95298.0,1143576.0
1057,Sales,Pune,Male,44.0,2,2.91,1,2.0,68985.0,827820.0
1058,HR,Pune,Female,23.0,18,3.81,11,33.0,144224.0,1730688.0
1059,Engineering,Pune,Female,39.0,17,3.84,2,33.0,138747.0,1664964.0
1060,Sales,Bangalore,Male,34.0,6,2.75,6,40.0,83496.0,1001952.0
1061,Engineering,Pune,Male,37.0,7,3.92,13,13.0,106317.0,1275804.0
1062,Sales,Bangalore,Female,29.0,6,3.57,9,69.0,82653.0,991836.0
1063,HR,Pune,Female,23.0,3,3.55,6,24.0,73926.0,887112.0
1064,Engineering,Pune,Male,35.0,8,3.39,10,74.0,103336.0,1240032.0
1065,Engineering,Bangalore,Female,31.0,9,,10,80.0,120494.0,1445928.0
1066,AI,Pune,Male,44.0,14,4.06,2,7.0,127403.0,1528836.0
1067,Engineering,Pune,Male,31.0,3,3.81,8,59.0,,928932.0
1068,Finance,Pune,Female,31.0,8,4.39,3,34.0,91604.0,1099248.0
1069,Sales,Hyderabad,Female,33.0,0,3.72,8,41.0,69941.0,839292.0
1070,Engineering,Bangalore,Male,23.0,10,3.78,4,23.0,108107.0,1297284.0
1071,Engineering,Bangalore,Female,36.0,8,4.02,4,32.0,97596.0,1171152.0
1072,HR,Hyderabad,Female,46.0,14,3.54,10,63.0,110280.0,1323360.0
1073,Engineering,Hyderabad,Male,36.0,12,2.98,8,47.0,133425.0,1601100.0
1074,HR,Hyderabad,Male,36.0,0,4.76,9,28.0,67437.0,809244.0
1075,AI,Chennai,Male,36.0,2,4.27,2,57.0,77512.0,930144.0
1076,Engineering,Hyderabad,Male,29.0,2,2.92,5,39.0,67224.0,806688.0
1077,HR,Hyderabad,Male,25.0,17,3.11,6,58.0,133738.0,1604856.0
1078,Finance,Hyderabad,Female,48.0,15,3.06,12,57.0,125229.0,1502748.0
1079,Engineering,Chennai,Male,44.0,3,2.79,6,70.0,67287.0,807444.0
1080,Engineering,Bangalore,Male,43.0,19,3.92,11,51.0,152655.0,1831860.0
1081,AI,Bangalore,Male,23.0,11,4.6,13,60.0,143006.0,1716072.0
1082,Sales,Pune,Female,34.0,18,3.93,3,60.0,143694.0,1724328.0
1083,AI,Bangalore,Female,22.0,4,4.64,2,65.0,101774.0,1221288.0
1084,Engineering,Hyderabad,Male,32.0,14,3.45,12,34.0,125638.0,1507656.0
1085,Engineering,Hyderabad,Male,24.0,13,3.86,5,21.0,112228.0,1346736.0
1086,Sales,Bangalore,Male,24.0,20,3.14,5,43.0,137734.0,1652808.0
1087,Sales,Pune,Male,35.0,9,3.71,15,36.0,103698.0,1244376.0
1088,Engineering,Bangalore,Male,30.0,17,4.34,7,22.0,143807.0,1725684.0
1089,Sales,Bangalore,Male,50.0,1,4.13,10,19.0,77454.0,929448.0
1090,Engineering,Bangalore,Male,42.0,14,4.31,3,62.0,123469.0,1481628.0
1091,Sales,Hyderabad,Female,32.0,11,3.46,4,,98191.0,1178292.0
1092,Sales,Hyderabad,Male,24.0,13,4.25,7,70.0,111766.0,1341192.0
1093,Finance,Hyderabad,Female,40.0,16,4.57,1,43.0,135657.0,1627884.0
1094,AI,Bangalore,Male,32.0,17,4.04,4,24.0,,1777644.0
1095,AI,Pune,Male,32.0,1,2.87,15,68.0,87219.0,1046628.0
1096,Engineering,Pune,Male,39.0,18,3.87,12,40.0,,1687944.0
1097,AI,Pune,Male,33.0,9,3.85,9,1.0,111663.0,1339956.0
1098,Sales,Pune,Female,43.0,5,3.3,9,8.0,90934.0,1091208.0
1099,AI,Bangalore,Female,47.0,1,,6,42.0,76921.0,923052.0
1100,AI,Bangalore,Female,43.0,17,3.21,14,9.0,157536.0,1890432.0
1101,HR,Hyderabad,Female,,15,4.39,7,65.0,291280.0,1588800.0
1102,Engineering,Bangalore,Male,30.0,12,3.78,3,11.0,120933.0,1451196.0
1103,Sales,Chennai,Female,30.0,1,4.7,1,38.0,62023.0,744276.0
1104,AI,Bangalore,Female,31.0,0,2.62,9,51.0,69027.0,828324.0
1105,Engineering,Chennai,Female,27.0,6,3.95,2,1.0,92926.0,1115112.0
1106,Finance,Bangalore,Female,26.0,4,4.66,8,63.0,103406.0,1240872.0
1107,Sales,Bangalore,Male,27.0,15,4.8,13,6.0,141694.0,1700328.0
1108,Engineering,Chennai,Female,43.0,16,3.38,8,10.0,134022.0,1608264.0
1109,Finance,Chennai,Male,36.0,4,4.65,10,3.0,90004.0,1080048.0
1110,AI,Chennai,Female,29.0,7,4.36,12,80.0,115393.0,1384716.0
1111,Finance,Chennai,Female,41.0,1,4.41,7,35.0,70616.0,847392.0
1112,Engineering,Bangalore,Male,35.0,17,3.83,7,28.0,145814.0,1749768.0
1113,AI,Hyderabad,Female,22.0,0,4.31,2,18.0,81375.0,976500.0
1114,AI,Hyderabad,Male,48.0,12,4.25,11,72.0,149051.0,1788612.0
1115,Engineering,Bangalore,Female,32.0,12,3.34,1,48.0,122039.0,1464468.0
1116,Engineering,Chennai,Female,22.0,20,2.08,5,80.0,143197.0,1718364.0
1117,HR,Pune,Male,,9,4.39,5,79.0,94343.0,1132116.0
1118,HR,Bangalore,Male,46.0,16,4.34,2,68.0,116624.0,1399488.0
1119,Finance,Hyderabad,Male,40.0,5,4.15,12,62.0,98703.0,1184436.0
1120,Engineering,Pune,Male,43.0,1,3.46,12,30.0,84406.0,1012872.0
1121,Sales,Pune,Male,31.0,17,3.46,2,27.0,137470.0,1649640.0
1122,HR,Bangalore,Male,40.0,17,2.76,8,1.0,127460.0,1529520.0
1123,Finance,Chennai,Male,30.0,19,4.68,4,64.0,146725.0,1760700.0
1124,Finance,Hyderabad,Female,33.0,13,3.66,4,41.0,114723.0,1376676.0
1125,AI,Bangalore,Female,26.0,2,,3,70.0,88258.0,1059096.0
1126,AI,Chennai,Female,40.0,4,3.5,7,,75771.0,909252.0
1127,Engineering,Chennai,Male,39.0,11,2.3,15,0.0,,1216716.0
1128,HR,Pune,Male,49.0,10,4.19,10,0.0,88853.0,1066236.0
1129,Engineering,Chennai,Male,41.0,1,4.44,1,65.0,68698.0,824376.0
1130,AI,Bangalore,Male,24.0,3,4.83,4,70.0,90364.0,1084368.0
1131,HR,Chennai,Male,29.0,13,3.64,5,28.0,119362.0,1432344.0
1132,Finance,Pune,Female,23.0,7,3.42,3,11.0,87970.0,1055640.0
1133,AI,Hyderabad,Male,,19,3.8,3,4.0,155052.0,1860624.0
1134,AI,Hyderabad,Male,31.0,15,,15,,140238.0,1682856.0
1135,Sales,Pune,Female,49.0,9,3.19,10,67.0,95535.0,1146420.0
1136,Finance,Hyderabad,Female,24.0,9,4.08,3,21.0,92334.0,1108008.0
1137,AI,Chennai,Male,36.0,2,3.57,8,15.0,84816.0,1017792.0
1138,Sales,Bangalore,Male,48.0,13,3.39,6,33.0,113135.0,1357620.0
1139,AI,Pune,Male,30.0,17,3.94,5,63.0,138154.0,1657848.0
1140,Engineering,Bangalore,Female,44.0,18,3.5,6,38.0,138102.0,1657224.0
1141,Sales,Hyderabad,Male,31.0,4,5.0,15,41.0,85827.0,1029924.0
1142,AI,Pune,Male,26.0,14,3.53,13,47.0,131736.0,1580832.0
1143,Sales,Hyderabad,Female,38.0,7,4.64,9,43.0,107056.0,1284672.0
1144,AI,Pune,Female,32.0,1,4.13,5,42.0,82118.0,985416.0
1145,AI,Hyderabad,Female,,3,4.29,14,,221394.80000000002,1207608.0
1146,Sales,Chennai,Male,34.0,8,3.92,4,29.0,87086.0,1045032.0
1147,Sales,Pune,Female,33.0,0,3.62,1,48.0,51611.0,619332.0
1148,Engineering,Chennai,Male,49.0,6,3.71,2,3.0,97818.0,1173816.0
1149,AI,Hyderabad,Male,46.0,10,3.34,8,65.0,110470.0,1325640.0
1150,Engineering,Chennai,Female,31.0,10,,12,10.0,112026.0,1344312.0
1151,AI,Hyderabad,Female,43.0,18,4.29,4,1.0,,1867416.0
1152,Engineering,Pune,Male,35.0,18,,9,50.0,145386.0,1744632.0
1153,Finance,Hyderabad,Female,48.0,8,2.94,5,52.0,99390.0,1192680.0
1154,Engineering,Hyderabad,Female,37.0,7,2.98,2,49.0,90641.0,1087692.0
1155,Finance,Chennai,Female,24.0,20,4.09,10,45.0,148221.0,1778652.0
1156,Sales,Chennai,Female,44.0,15,4.08,7,54.0,129316.0,1551792.0
1157,Engineering,Chennai,Female,41.0,3,3.45,6,29.0,82297.0,987564.0
1158,AI,Pune,Female,47.0,9,4.6,15,6.0,123391.0,1480692.0
1159,Sales,Hyderabad,Female,42.0,12,3.47,15,58.0,116107.0,1393284.0
1160,Sales,Pune,Female,41.0,17,4.02,14,20.0,146475.0,1757700.0
1030,Finance,Pune,Female,36.0,19,4.28,2,70.0,134983.0,1619796.0
1043,AI,Hyderabad,Male,33.0,19,4.41,10,15.0,164189.0,1970268.0
1015,Finance,Chennai,Male,25.0,20,4.46,10,23.0,142546.0,1710552.0
1092,Sales,Hyderabad,Male,24.0,13,4.25,7,70.0,111766.0,1341192.0
